artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Singto Numchok,0S741gpnPQORvndXqMkGNX,อย่าร้องไห้,0.147,0.317,273000,0.306,0.000851,9,0.311,-11.916,1,0.0303,173.58,4,0.3329999999999999,26
Triple Ess,7lbEkKoodFLeIvrsM3ydLf,Celebrate Life (feat. Chris Thomas the Ceo),0.225,0.415,182301,0.585,0.0,5,0.14,-6.315,1,0.0472,94.378,4,0.532,35
Key Glock,3THlMag2mVgUTs0qg0uai9,Maybach,0.0273,0.956,163280,0.551,0.0,9,0.147,-5.66,1,0.2269999999999999,132.054,4,0.314,55
Key Glock,0lOKsvuwUhu0a6ZEaviQ46,Since 6ix,0.00317,0.916,152693,0.625,0.0,2,0.0933,-7.36,1,0.241,128.094,4,0.46,69
Russ,1Y1UKiNNqMpSc1HojIjJvB,Kill Them All,0.0716,0.802,267133,0.7909999999999999,8.08e-06,6,0.0651,-4.037,0,0.239,168.05900000000003,4,0.772,58
Walter Wolfman Washington,3GdcHOVsevVSU949ZNIgoC,Lost Mind,0.7070000000000001,0.616,226113,0.182,1.21e-06,3,0.259,-17.176,0,0.372,123.48,4,0.33,29
Three Days Grace,6x5deYIe42rgRbStECDjYQ,Infra-Red,0.00115,0.568,230933,0.907,0.0,5,0.0982,-4.641,0,0.0488,112.037,4,0.337,68
Beth Hart,0GggMAm0oQANYQKa2p93ux,Give It Everything You Got,0.0068,0.484,278257,0.895,0.00082,11,0.307,-6.51,0,0.0402,168.05700000000002,4,0.674,43
The Him,54oBcNRInIMsbnmH48BKAG,By Your Side,0.0921,0.636,159048,0.936,0.000433,9,0.281,-4.135,0,0.084,126.068,4,0.481,56
Johann Sebastian Bach,1sNJLifktQWHjUepAheoU0,"Suite No. 1 in G Major, BWV 1007: III. Courante",0.946,0.373,162400,0.1369999999999999,0.924,6,0.11,-19.892,1,0.0461,106.928,3,0.532,19
Harris Cole,6F0ky02XB2sZsiMl2tVuxm,Rosewood,0.782,0.561,162462,0.364,0.847,10,0.141,-10.767,1,0.245,129.759,4,0.141,67
French,5olupnplOXx9XUMcAbg0N1,I'm the One,0.384,0.759,180057,0.607,0.0,11,0.106,-7.0489999999999995,0,0.44,154.047,4,0.4679999999999999,47
Nicole Cross,2WxFRSy5Cxmd7MzULP4iam,Can't Stop the Feeling,0.696,0.718,180990,0.442,0.0,5,0.266,-8.342,1,0.0709,112.743,4,0.868,38
Lynyrd Skynyrd,1lnpIxCHlgnbLl8JujPayP,Gimme Back My Bullets (feat. Bo Bice) - Live in Atlantic City,0.0952,0.3289999999999999,197291,0.909,2.15e-06,7,0.857,-6.5489999999999995,1,0.0621,89.755,4,0.583,25
Soolking,21SKXioSYekcFCgZGV2Rd1,Milano,0.3379999999999999,0.787,216770,0.764,0.0,10,0.0732,-5.024,0,0.0443,116.973,4,0.637,64
Siggno,1KoxA9R6N3KDPbNN8UEyqC,Gracias Madre,0.22,0.662,211053,0.437,0.00021,7,0.349,-9.559,1,0.0384,138.357,4,0.213,16
Dilsinho,7B826fTyDa3DkjnKpOgXFo,12 Horas,0.831,0.578,240048,0.58,0.0,2,0.1009999999999999,-6.695,1,0.0414,141.925,4,0.348,69
Bougenvilla,6jU2L6TdZMdGqdCVqvhCg5,Utami,0.0202,0.652,157500,0.924,0.8059999999999999,7,0.308,-5.382999999999999,1,0.0418,128.013,4,0.307,63
Zeke,3xdwkHOrxB0XJ7AWiGDOT5,Hellbender,1.75e-05,0.352,48178,0.992,0.866,1,0.466,-6.792000000000001,1,0.0701,111.774,4,0.4529999999999999,15
Louis Armstrong,4uuhwmsuZjxnAlIMr5AMsL,You Turned The Tables On Me - False Starts / Alternate Take 1,0.675,0.492,329747,0.113,0.0,10,0.372,-15.518,1,0.146,82.09100000000001,3,0.336,13
Octubre Doce,1azrKID2lnTIL3vehISEq2,Seremos,0.85,0.584,193000,0.187,0.0,3,0.105,-9.163,1,0.0428,130.668,4,0.3289999999999999,30
Self Deception,4Bo6LRd4Ymt7K5TXuifLiL,Eat Sleep Rock Repeat,0.000265,0.362,222954,0.971,3.59e-06,10,0.0969,-3.873,0,0.174,175.933,4,0.313,19
Ben Harper,7nvZjnj2yvC6XaRakdJOt9,Trust You To Dig My Grave - Live at Machine Shop,0.8740000000000001,0.61,216242,0.372,0.00026,2,0.1169999999999999,-8.103,1,0.0369,125.46,4,0.545,34
Bad Suns,5rrf6W4ROoZpd27EqRKsKm,This Was A Home Once (OurVinyl Sessions),0.785,0.802,170000,0.173,0.0,3,0.0874,-11.867,1,0.038,100.584,4,0.375,30
A$AP Rocky,1AqemxWsT0iGg5Lvkm16Bt,Fukk Sleep,0.4429999999999999,0.7929999999999999,192973,0.412,7.43e-05,2,0.2189999999999999,-9.305,1,0.364,135.937,4,0.307,73
Mitch,69bNIPxnJDuRTob3cVd0po,Trade My Main,0.591,0.743,173903,0.433,0.0573,0,0.114,-9.116,0,0.0546,130.046,4,0.3339999999999999,19
Helado Negro,5WlJKF4X5A5hFSuXPvMpNI,Seen My Aura,0.471,0.748,248094,0.483,0.83,7,0.096,-13.326,1,0.0591,94.017,4,0.607,53
Go Yayo,1plG8Fww0Wh6OFOAyiq76U,Count Down,0.00022,0.848,171024,0.5,1.3699999999999998e-05,1,0.356,-12.047,1,0.3379999999999999,159.995,4,0.153,31
Feid,5gH9CSkFW45IjfocI8MPsb,Perfecta,0.0868,0.8,182533,0.794,8.59e-06,0,0.1639999999999999,-3.704,0,0.211,92.022,4,0.647,68
June,7fzfRB1vlusbhbigVreQ0L,Don't Mean Shit (feat. Deon & Remedy),0.0851,0.498,261128,0.557,0.0,1,0.675,-7.72,1,0.133,87.625,4,0.2239999999999999,29
Bernard Allison,2QIbD38FhRqXHOeQC3SiYu,Castle,0.924,0.557,208513,0.121,8.66e-05,1,0.11,-13.073,1,0.0336,108.876,4,0.326,46
Ludwig van Beethoven,6D9RllfKTPFOGbKFZsvYzG,"Violin Sonata No. 7 in C Minor, Op. 30, No. 2: II. Adagio cantabile",0.977,0.332,529040,0.0367,0.0503,8,0.0866,-26.188,1,0.0453,124.062,4,0.1989999999999999,11
Leon Chavis And The Zydeco Flames,5IwTpmSjezZscbc6T7ANIf,Get It Right Now,0.3989999999999999,0.7390000000000001,215000,0.805,2.92e-06,9,0.0475,-5.018,1,0.136,156.128,4,0.815,13
Greyhounds,0ohUJkhNB0CKZuDzdCnaf7,Space Song,0.0991,0.451,260604,0.792,0.0464,11,0.495,-8.408999999999999,0,0.0549,94.19,4,0.71,21
Martín Sangar,3MDYtf9y85IqhDTC8O9teC,Delito,0.0675,0.901,181006,0.777,0.00116,0,0.129,-6.055,1,0.206,107.979,4,0.657,32
Sylvan Esso,38oJiIp6NbgKcafywgJpC5,Die Young,0.361,0.687,210613,0.518,0.00882,8,0.109,-7.462000000000001,1,0.033,101.995,4,0.467,11
Madman,4DNCsZEIPuiYYT8MHMSEFh,Trapano,0.258,0.784,173189,0.841,0.0,8,0.179,-4.618,1,0.155,147.001,4,0.248,57
Alec Benjamin,4IhKLu7Vk3j2TLmnFPl6To,Water Fountain,0.3879999999999999,0.723,218893,0.504,7.4e-05,8,0.087,-5.572,1,0.0392,133.975,4,0.551,76
Operación Triunfo 2017,2Oi5550ly56cjrpbZxHdqU,País Tropical,0.0095,0.7,129259,0.928,0.0,0,0.0334,-3.23,1,0.0418,144.953,4,0.963,39
Shotgun Shane,1qZr56uok0CMGyPzpU1kNk,Hold My Beer,0.484,0.925,226627,0.738,0.0,4,0.624,-5.2829999999999995,1,0.154,122.039,4,0.922,12
Lil Durk,5uMHMG9Guu7cEF8QIzhoEC,Crossroads,0.472,0.6990000000000001,270441,0.527,0.0,4,0.273,-9.541,0,0.271,145.112,4,0.152,49
